LSOA code,LSOA name,LONG__y,LAT_y,LSOA IMD Score
E01009001,Birmingham 018A,-1.84122,52.5363,27.305
E01009002,Birmingham 023A,-1.84389,52.5332,71.83
E01009003,Birmingham 018B,-1.82633,52.5321,29.563
E01009005,Birmingham 025A,-1.81963,52.5305,31.464
E01009006,Birmingham 023C,-1.84248,52.5314,34.044
E01009007,Birmingham 023D,-1.83908,52.5259,48.366
E01009008,Birmingham 028A,-1.82668,52.5255,20.881
E01009009,Birmingham 025B,-1.81935,52.5263,24.528
E01009011,Birmingham 028B,-1.82179,52.5208,24.675
E01009012,Birmingham 028C,-1.83237,52.52,25.112
E01009013,Birmingham 031D,-1.83937,52.5197,52.593
E01009014,Birmingham 090A,-1.84173,52.4444,38.311
E01009015,Birmingham 089G,-1.81965,52.4443,31.911
E01009016,Birmingham 098A,-1.83523,52.441,54.21
E01009017,Birmingham 097A,-1.84876,52.4453,35.034
E01009018,Birmingham 090B,-1.83199,52.4452,37.159
E01009019,Birmingham 103A,-1.8219,52.4366,56.833
E01009020,Birmingham 103B,-1.82516,52.4406,44.623
E01009021,Birmingham 103C,-1.81788,52.4404,51.554
E01009022,Birmingham 098B,-1.83144,52.4387,35.39
E01009023,Birmingham 098C,-1.83284,52.4337,21.331
E01009024,Birmingham 103D,-1.82685,52.432,48.019
E01009025,Birmingham 103E,-1.82062,52.4326,52.178
E01009026,Birmingham 090C,-1.84078,52.4501,57.483
E01009028,Birmingham 090D,-1.83653,52.4492,44.801
E01009029,Birmingham 090E,-1.83142,52.4484,43.725
E01009030,Birmingham 098D,-1.84097,52.4358,25.194
E01009031,Birmingham 105C,-1.85231,52.4304,20.967
E01009032,Birmingham 108A,-1.83816,52.4314,19.494
E01009033,Birmingham 103F,-1.8297,52.4271,45.626
E01009034,Birmingham 108B,-1.84498,52.4268,16.587
E01009035,Birmingham 108C,-1.83703,52.4272,25.035
E01009036,Birmingham 108D,-1.84034,52.422,18.644
E01009037,Birmingham 105D,-1.85426,52.4238,22.826
E01009039,Birmingham 132A,-1.84475,52.4182,13.915
E01009040,Birmingham 132B,-1.84975,52.4211,15.415
E01009041,Birmingham 132C,-1.83995,52.4163,16.596
E01009042,Birmingham 132D,-1.84656,52.4125,18.483
E01009043,Birmingham 097B,-1.84468,52.4409,41.675
E01009044,Birmingham 097C,-1.85576,52.441,34.928
E01009045,Birmingham 097D,-1.85028,52.4397,32.378
E01009046,Birmingham 097E,-1.85335,52.4353,22.988
E01009047,Birmingham 040C,-1.91077,52.5056,59.253
E01009048,Birmingham 040D,-1.91509,52.5055,63.744
E01009049,Birmingham 032A,-1.91789,52.5139,36.808
E01009050,Birmingham 035A,-1.91162,52.5163,42.623
E01009051,Birmingham 033A,-1.89949,52.5149,48.525
E01009053,Birmingham 033B,-1.8884,52.5124,53.905
E01009054,Birmingham 033C,-1.89794,52.5102,35.267
E01009056,Birmingham 032B,-1.92359,52.5099,51.196
E01009057,Birmingham 035D,-1.91388,52.5104,51.11
E01009058,Birmingham 033D,-1.89208,52.5104,36.139
E01009059,Birmingham 035E,-1.90838,52.5095,61.826
E01009060,Birmingham 035F,-1.90157,52.5075,48.057
E01009061,Birmingham 033E,-1.89506,52.5075,46.931
E01009062,Birmingham 040E,-1.90604,52.5055,54.214
E01009064,Birmingham 095B,-1.96574,52.4459,34.229
E01009065,Birmingham 075A,-1.95224,52.4656,22.482
E01009066,Birmingham 073A,-1.96163,52.4685,18.231
E01009067,Birmingham 075B,-1.96046,52.4614,13.315
E01009068,Birmingham 075C,-1.95231,52.4588,10.384
E01009069,Birmingham 075D,-1.94711,52.4595,16.528
E01009070,Birmingham 073B,-1.97157,52.4582,13.977
E01009071,Birmingham 087B,-1.96404,52.4524,28.171
E01009072,Birmingham 075E,-1.96101,52.4568,19.26
E01009073,Birmingham 085A,-1.97756,52.4511,59.476
E01009074,Birmingham 085B,-1.97462,52.4544,54.251
E01009075,Birmingham 087C,-1.94994,52.4541,36.502
E01009077,Birmingham 095C,-1.96154,52.4486,25.269
E01009078,Birmingham 087E,-1.95023,52.446,27.246
E01009079,Birmingham 038A,-1.81698,52.5066,61.275
E01009080,Birmingham 038B,-1.79929,52.5069,59.155
E01009081,Birmingham 038C,-1.80825,52.5037,62.497
E01009082,Birmingham 044A,-1.82374,52.5034,38.026
E01009083,Birmingham 038D,-1.80307,52.5033,44.484
E01009084,Birmingham 042A,-1.81061,52.499,31.793
E01009085,Birmingham 042B,-1.81574,52.5,24.234
E01009086,Birmingham 044B,-1.8241,52.4999,30.943
E01009087,Birmingham 042C,-1.80064,52.4994,28.985
E01009088,Birmingham 045A,-1.79667,52.4978,35.678
E01009089,Birmingham 042D,-1.80435,52.4939,27.488
E01009090,Birmingham 042E,-1.81327,52.4921,33.702
E01009091,Birmingham 045B,-1.79361,52.4935,43.098
E01009092,Birmingham 054A,-1.80073,52.4891,58.718
E01009093,Birmingham 054B,-1.79197,52.4889,59.466
E01009094,Birmingham 054C,-1.79871,52.4859,53.261
E01009095,Birmingham 056A,-1.81021,52.4874,33.984
E01009096,Birmingham 029A,-1.78958,52.5231,54.358
E01009097,Birmingham 029B,-1.78037,52.5179,59.522
E01009098,Birmingham 025C,-1.80688,52.5203,39.736
E01009099,Birmingham 029C,-1.78973,52.5198,66.836
E01009100,Birmingham 025D,-1.81222,52.5298,33.463
E01009101,Birmingham 029D,-1.79978,52.5131,47.77
E01009102,Birmingham 028D,-1.81904,52.5125,45.201
E01009103,Birmingham 029E,-1.79272,52.5141,60.475
E01009104,Birmingham 028E,-1.83183,52.5147,56.986
E01009105,Birmingham 025E,-1.79986,52.5248,26.859
E01009106,Birmingham 029F,-1.78218,52.5242,33.082
E01009107,Birmingham 128A,-1.93235,52.3995,66.106
E01009108,Birmingham 127A,-1.93951,52.4009,16.716
E01009109,Birmingham 123B,-1.92087,52.4023,71.102
E01009110,Birmingham 128B,-1.9245,52.3985,50.571
E01009111,Birmingham 127B,-1.94606,52.3997,28.108
E01009112,Birmingham 127C,-1.95337,52.3966,29.948
E01009113,Birmingham 128C,-1.93479,52.389,69.379
E01009114,Birmingham 128D,-1.94313,52.3959,54.108
E01009115,Birmingham 128E,-1.93811,52.3921,55.214
E01009116,Birmingham 127D,-1.93876,52.4083,11.528
E01009117,Birmingham 126A,-1.94858,52.4078,57.955
E01009118,Birmingham 127E,-1.94675,52.4026,33.187
E01009119,Birmingham 123C,-1.92666,52.4106,26.603
E01009120,Birmingham 123D,-1.92052,52.4063,28.778
E01009121,Birmingham 014A,-1.86543,52.5358,47.682
E01009122,Birmingham 014B,-1.87179,52.5412,59.206
E01009123,Birmingham 022A,-1.87104,52.5308,43.079
E01009124,Birmingham 022B,-1.8762,52.5303,68.387
E01009125,Birmingham 022C,-1.87292,52.5251,46.072
E01009126,Birmingham 026A,-1.8666,52.5261,20.699
E01009127,Birmingham 011A,-1.87391,52.5528,64.464
E01009128,Birmingham 011B,-1.88133,52.5519,66.527
E01009129,Birmingham 014C,-1.86926,52.5478,68.125
E01009130,Birmingham 011C,-1.87568,52.5494,60.911
E01009131,Birmingham 011D,-1.88163,52.5487,60.21
E01009132,Birmingham 014D,-1.86424,52.545,56.75
E01009133,Birmingham 011E,-1.87314,52.5458,61.723
E01009134,Birmingham 011F,-1.88209,52.5438,60.126
E01009135,Birmingham 010A,-1.85637,52.5425,19.524
E01009136,Birmingham 014E,-1.86418,52.5411,51.093
E01009137,Birmingham 011G,-1.87859,52.5399,58.511
E01009138,Birmingham 060A,-1.95853,52.4799,25.09
E01009139,Birmingham 060B,-1.96381,52.4803,23.688
E01009140,Birmingham 060C,-1.93142,52.4795,32.387
E01009141,Birmingham 137A,-1.92267,52.4822,56.453
E01009143,Birmingham 136A,-1.92639,52.477,61.744
E01009145,Birmingham 060D,-1.95164,52.4789,26.205
E01009146,Birmingham 136B,-1.91365,52.4732,41.792
E01009147,Birmingham 060E,-1.9634,52.4759,46.788
E01009151,Birmingham 053A,-1.94876,52.4846,39.08
E01009152,Birmingham 053B,-1.94306,52.4845,49.865
E01009153,Birmingham 053C,-1.92956,52.4829,48.369
E01009155,Birmingham 125B,-2.02486,52.4052,66.559
E01009157,Birmingham 125D,-2.00948,52.4075,59.609
E01009158,Birmingham 129A,-1.99451,52.4015,44.97
E01009159,Birmingham 130A,-2.00907,52.3982,23.431
E01009160,Birmingham 125E,-2.01874,52.3982,71.69
E01009161,Birmingham 125F,-2.02592,52.4025,45.276
E01009162,Birmingham 124A,-1.9876,52.4026,29.026
E01009163,Birmingham 129B,-1.9897,52.389,43.091
E01009164,Birmingham 130B,-2.0111,52.3907,30.515
E01009165,Birmingham 129C,-1.99329,52.3951,41.325
E01009166,Birmingham 131A,-1.97978,52.3931,28.076
E01009167,Birmingham 130C,-2.00648,52.3936,25.947
E01009168,Birmingham 131B,-1.9759,52.3919,21.994
E01009169,Birmingham 129D,-1.99978,52.392,24.85
E01009170,Birmingham 131C,-1.96967,52.3905,13.764
E01009171,Birmingham 130D,-2.00561,52.3886,37.802
E01009172,Birmingham 119A,-1.98683,52.4114,49.213
E01009173,Birmingham 119B,-1.99259,52.4111,54.819
E01009174,Birmingham 119C,-2.00328,52.4078,49.307
E01009175,Birmingham 104A,-1.88294,52.4332,26.094
E01009176,Birmingham 105E,-1.87011,52.4382,27.037
E01009177,Birmingham 104B,-1.89894,52.4344,21.855
E01009178,Birmingham 104C,-1.89348,52.4349,32.264
E01009179,Birmingham 104D,-1.88677,52.4295,19.439
E01009182,Birmingham 092A,-1.89085,52.4528,58.12
E01009183,Birmingham 088C,-1.89931,52.4479,17.694
E01009184,Birmingham 092B,-1.88953,52.4455,29.974
E01009185,Birmingham 093A,-1.87549,52.4401,20.757
E01009186,Birmingham 088D,-1.90236,52.4426,23.236
E01009187,Birmingham 092C,-1.88408,52.4431,21.665
E01009188,Birmingham 092D,-1.88793,52.4388,22.003
E01009189,Birmingham 104E,-1.88297,52.4365,16.636
E01009192,Birmingham 052B,-1.85448,52.4864,47.546
E01009194,Birmingham 051A,-1.84979,52.4859,42.955
E01009195,Birmingham 058A,-1.8396,52.485,45.727
E01009197,Birmingham 058C,-1.8402,52.4813,50.443
E01009198,Birmingham 058D,-1.85722,52.4806,52.742
E01009199,Birmingham 052D,-1.86673,52.4788,32.331
E01009200,Birmingham 139A,-1.87489,52.4764,54.122
E01009201,Birmingham 043A,-1.86496,52.4981,53.898
E01009202,Birmingham 043B,-1.84739,52.5043,57.943
E01009203,Birmingham 043C,-1.87508,52.4934,56.729
E01009204,Birmingham 052E,-1.87467,52.4854,57.368
E01009205,Birmingham 120A,-1.95274,52.4115,25.035
E01009206,Birmingham 120B,-1.96903,52.4091,17.665
E01009207,Birmingham 124B,-1.97864,52.4094,14.871
E01009208,Birmingham 124C,-1.98201,52.4025,16.197
E01009209,Birmingham 124D,-1.97382,52.4047,27.614
E01009210,Birmingham 126B,-1.9644,52.406,40.987
E01009211,Birmingham 120C,-1.95738,52.4055,18.054
E01009212,Birmingham 126C,-1.96363,52.4004,44.89
E01009213,Birmingham 124E,-1.97655,52.3993,41.167
E01009214,Birmingham 126D,-1.95509,52.402,58.35
E01009215,Birmingham 126E,-1.97086,52.3974,63.394
